trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
671,False,"{'a': 0.005, 'e': 0.03490937015475576}",30,0,45.95969915754949,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
672,False,"{'a': 0.005, 'e': 0.03473525894473856}",20,7,21.960937752805744,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
673,False,"{'a': 0.005, 'e': 0.0345620161180041}",35,20,21.810152092815503,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.005, 'e': 0.03438963734347271}",20,0,16.980606705976673,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
675,False,"{'a': 0.005, 'e': 0.03421811831166603}",25,18,11.984312682907042,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.005, 'e': 0.034047454734599344}",35,20,26.82575332316033,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
677,False,"{'a': 0.005, 'e': 0.033877642345674315}",20,0,26.801724635665973,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
678,False,"{'a': 0.005, 'e': 0.033708676899572396}",30,1,-50.99674899821894,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 2}",1
679,False,"{'a': 0.005, 'e': 0.033540554172148636}",30,20,12.599924307279649,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
680,False,"{'a': 0.005, 'e': 0.03337326996032608}",20,7,12.520067456173589,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.005, 'e': 0.03320682008199072}",30,12,24.227304949936617,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
682,False,"{'a': 0.005, 'e': 0.03304120037588693}",20,16,7.608005312337746,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
683,False,"{'a': 0.005, 'e': 0.03287640670151345}",20,10,12.444686753430565,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
684,False,"{'a': 0.005, 'e': 0.03271243493901982}",20,0,27.05671775905104,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
685,False,"{'a': 0.005, 'e': 0.03254928098910342}",25,0,40.14149770874486,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
686,False,"{'a': 0.005, 'e': 0.03238694077290704}",20,13,10.99145697488231,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
